Original_Venture_Name,Year_Foundation,Alternative_Name
Arithmer Inc.,1801,
Addiko Bank AG,1896,
Justrite Manufacturing,1906,
Imprima Virtual Data Rooms,1907,
VA Tech Ventures Pvt Ltd.,1924,
Bull Société Anonyme,1931,
Nordson Corporation,1935,
FusionFinancial Group,1936,
"Hayashibara Co., Ltd.",1947,
"Neptune-Benson, Inc.",1956,
Warner Music Group Corp.,1958,
NMLStream,1970,
"Tokai Soft Co., Ltd.",1970,
Marwell Zoo,1972,
"Global Tone Communication Technology Co., Ltd.",1973,
"MCI, LC",1974,
Teleperformance SE,1978,
TF-Technologies,1978,
"Jiangsu Hagong Intelligent Robot Co.,Ltd",1980,
"Mission Health Labs, Inc.",1981,
Altran Technologies S.A.,1982,
Maison Me,1983,
Affecto Oyj,1983,
NCSIMUL Hexagon Production Software,1983,
Broadcast International Inc.,1984,
"Cisco Systems, Inc.",1984,
Smart Software Testing Solutions Inc.,1984,
"New Life Solution, Inc.",1985,
Financial Network Analytics Ltd,1985,
Gaam Records,1985,
"Mitek Systems, Inc.",1986,
Octopus Robots SA,1987,
DrugPredict,1987,
"Nirvana Systems, Inc.",1987,
O2i Société Anonyme,1989,
Oasis Technology Incorporated,1989,
RCBI,1990,
Cura Analytix,1990,
"Duos Technologies Group, Inc.",1990,
Berkeley Artificial Intelligence Research,1990,
"Veloxiti, Inc.",1990,
"Shanghai Shenqi Pharmaceutical Investment Management Co.,Ltd.",1991,
The Hotels Network,1991,
Cirrascale Corporation,1991,
Together Pharma Ltd,1991,
"Hyper Labs, Inc.",1992,
Boston Dynamics Inc.,1992,
"HNA Technology Co.,Ltd.",1992,
"Acusphere, Inc.",1993,
Orion Health Group Limited,1993,
Celaton Limited,1993,
"Tatwah Smartech Co.,Ltd",1993,
ESTsoft Corp.,1993,
"SELVAS Healthcare, Inc.",1993,
"Cycorp, Inc.",1994,
"Shenzhen Bauing Construction Group Co., Ltd.",1994,
Castleton Technology plc,1995,
Helomics Holding Corporation,1995,
P&P Optica Inc.,1995,
Dream Pharma Corp.,1995,
Guosheng Financial Holding Inc.,1995,
Q & M Dental Group (Singapore) Limited,1996,
"Zhuhai Hokai Medical Instruments Co., Ltd.",1996,
Appen Limited,1996,
"Yum China Holdings, Inc.",1997,
"Shenzhen Sunwin Intelligent Co., Ltd.",1997,
"Saama Technologies, Inc.",1997,
"Easy Visible Supply Chain Management Co.,Ltd.",1997,
Pertimm,1997,
NICE inContact,1997,
"1-10 HOLDINGS, Inc.",1997,
ImageSat International N.V.,1997,
Pillar Technology Inc.,1997,
Ditto AI Ltd,1997,
Singular Meaning SL,1998,
"iXs Co., Ltd.",1998,
"Silver Egg Technology Co., Ltd.",1998,
Octo Technology Société Anonyme,1998,
"Penguin Computing, Inc.",1998,
"vLex Networks, SL",1998,
The ai Corporation Limited,1998,
PDFTron Systems Inc.,1998,
"Vivint Smart Home, Inc.",1999,
"Yodlee, Inc.",1999,
DriveLock SE,1999,
Alibaba Group Holding Limited,1999,
"Fetch Technologies, Inc.",1999,
Openet Telecom Limited,1999,
Densify Inc.,1999,
IMImobile PLC,1999,
CommonSense Robotics Ltd.,1999,
"ByAllAccounts, Inc.",1999,
"AfterCollege, Inc.",1999,
Agillic A/S,1999,
Smart Eye AB (publ),1999,
WISeKey International Holding AG,1999,
D-Wave Systems Inc.,1999,
"Flow Pharma, Inc.",1999,
Open Energi Limited,1999,
Antidot SAS,1999,
Galileo Financial Technologies,2000,
Machine Intelligence Research Institute,2000,
"Dtex Systems, Inc.",2000,
GeoVisual Technologies Inc.,2000,
Cerego,2000,
TIZA Information Industry Corporation INC.,2000,
Olive Bar & Kitchen Pvt Ltd,2000,
"Wangsu Science & Technology Co.,Ltd.",2000,
"Connotate Technologies, Inc.",2000,
"Hottolink, Inc.",2000,
Ambow Education Holding Ltd.,2000,
"RPA Holdings, Inc.",2000,
Alcidion Group Limited,2000,
"Digital Reasoning Systems, Inc.",2000,
Datasection Inc.,2000,
EFLOW Inc.,2000,
Pobuca,2000,
"Neptune Labs, Inc",2000,
Portware LLC,2000,
Nuxeo SAS,2000,
Ontotext AD,2000,
"VisualNACert, S.L.",2000,
"AbsolutData Technologies, Inc.",2000,
"Devicescape Software, Inc.",2000,
Paladion Networks Pvt Ltd.,2000,
OPTICS,2000,
Connotate Acquisition Corp.,2000,
"Arkadium, Inc.",2001,
"TopCoder, Inc.",2001,
"Bay Dynamics, Inc.",2001,
"Agosto, Inc.",2001,
"Happiest Baby, Inc.",2001,
"Semantic Ai, Inc.",2001,
"TransMed Systems, Inc.",2001,
"Inbox, SARL",2001,
QuantifiCare SA,2001,
LogicNow,2001,
Voicebox Technologies Corporation,2001,
Artificial Solutions International AB,2001,
"Medallia, Inc.",2001,
Wedia SA,2001,
"Aureon Biosciences, Inc.",2001,
"Kaonmedia Co, Ltd.",2001,
"Mindcrest, Inc.",2001,
"ChoiceStream, Inc.",2001,
PolySpot SAS,2001,
"Centro, Inc.",2001,
Spring Global,2001,
Fluential,2001,
Renew Data Corp.,2001,
THRON S.p.A.,2001,
"Guangdong Jaten Robot & Automation Co., Ltd.",2001,
Hong Kong Science and Technology Parks Corporation,2001,
SLI Systems Limited,2001,
"Shanghai Xiaoi Robot Technology Co., Ltd",2001,
"Teladoc Health, Inc.",2002,
"Hakim Unique Internet Co., Ltd.",2002,
Inmetrics S.A.,2002,
"CSG Smart Science&Technology Co.,Ltd.",2002,
Besedo,2002,
Talan SAS,2002,
Seldon Technologies Ltd.,2002,
"Vestec, Inc.",2002,
Digital Media Professionals Inc.,2002,
"LotLinx, Inc.",2002,
Alberta Machine Intelligence Institute,2002,
Neurosynaptic Communications Pvt. Ltd.,2002,
"VeriSilicon Holdings Co., Ltd.",2002,
VirtuOz S.A.,2002,
Median Technologies SA,2002,
"POM Monitoring, sa",2002,
WhiteSmoke Software Ltd,2002,
Next IT Corporation,2002,
Predictive Oncology Inc.,2002,
"Proofpoint, Inc.",2002,
"Riviera Partners, Inc.",2002,
Zafin Global Holdings Corp.,2002,
"LTS, Inc.",2002,
Spoke,2002,
Preact,2002,
WhiteSmoke,2002,
Performance Horizon Group Limited,2002,
Sinequa SAS,2002,
"Udisense, Inc.",2002,
Lanla inc.,2002,
"AudioEye, Inc.",2003,
"Indecomm Digital Services, Inc.",2003,
Daisy Intelligence Corporation,2003,
"AudienceScience, Inc.",2003,
Exact Imaging,2003,
IntelePeer Holdings Inc.,2003,
"PLK Technologies Co., Ltd.",2003,
"GlobalTranz Enterprises, Inc.",2003,
NexJ Systems Inc.,2003,
ValueFirst Digital Media Pvt. Ltd.,2003,
Enclavix,2003,
Sonasoft Corp.,2003,
ADCORE Inc.,2003,
"Conversion Technology, Inc.",2003,
"EquityMetrix, LLC",2003,
"Catasys, Inc.",2003,
Ribomic Inc.,2003,
Multiply,2003,
Resolving Limited,2003,
"Automation Anywhere, Inc.",2003,
"FRONTEO, Inc.",2003,
"Science-Arts, Inc.",2003,
Pivotal Systems Corporation,2003,
"Supply Dynamics, Inc.",2003,
Verafin Inc.,2003,
POCARED Diagnostics Ltd.,2004,
"NapaJen Pharma, Inc.",2004,
"Sensor Platforms, Inc.",2004,
xaitment GmbH,2004,
OmPrompt Limited,2004,
Nexthink S.A.,2004,
"Morpho, Inc.",2004,
Splunk Inc.,2004,
DFLabs S.p.A.,2004,
Futures Platform Oy,2004,
Energisme SAS,2004,
Riverain Technologies LLC,2004,
Vigilent Corporation,2004,
Webtrekk GmbH,2004,
"Skai, Inc.",2004,
Interactions LLC,2004,
ElectrifAI,2004,
Sogou Inc.,2004,
FriarTuck Pte Ltd,2004,
Biosignatures Limited,2004,
Orthobond Corp.,2004,
"VIDA Diagnostics, Inc.",2004,
Verdande Technology AS,2004,
"Shanghai ALO7 Technology Co., Ltd.",2004,
Avigilon Corporation,2004,
"Winner Technology Co., Inc.",2004,
"Allocade, Inc.",2004,
"Rise Interactive, Inc.",2004,
Apigee Corporation,2004,
Geminare Incorporated,2004,
"SQL Sentry, LLC",2004,
"HireVue, Inc.",2004,
Advanced Micro-Fabrication Equipment Inc. China,2004,
Pegwin,2004,
Denator AB,2004,
Certona Corporation,2004,
PIALA Inc.,2004,
"Defactostandard, Ltd.",2004,
The Hut Group Limited,2004,
Inform Technologies,2004,
Robotics Inventions,2004,
Opera Solutions,2004,
Primal Fusion Inc.,2004,
GBT Technologies Inc.,2004,
"Finch Therapeutics Group, Inc.",2004,
Secure Supplies,2004,
Baynote Inc.,2004,
Intrasense Société anonyme,2004,
GeoDigital International Inc.,2005,
"Phizzle, Inc.",2005,
RT Corporation,2005,
Identec Group AG,2005,
iQPS Inc.,2005,
Stardog Union Inc.,2005,
"Vigilant Solutions, Inc.",2005,
Eyesight Technologies Ltd.,2005,
Inbenta Technologies Inc.,2005,
"AlchemyAPI, Inc.",2005,
Red Lambda Inc.,2005,
Global Spatial Technology Solutions Inc.,2005,
Adenyo Inc.,2005,
"Bringspring Science and Technology Co., Ltd.",2005,
The Backbenchers,2005,
"Numenta, Inc.",2005,
Polte Corporation,2005,
Mainline,2005,
Softomotive Ltd,2005,
Indigo Fair Inc.,2005,
The Echo Nest Corporation,2005,
"Alfresco Software, Inc.",2005,
The Fizzback Group Limited,2005,
Scigineer Inc.,2005,
"NUUBO Smart Solutions Technologies, SL",2005,
"ImmersiveTouch, Inc.",2005,
"Jitterbit, Inc.",2005,
"Tagnos, Inc.",2005,
Quintura Inc.,2005,
Undo Forsikringsagentur A/S,2005,
"Beijing Vion Technology Co., Inc.",2005,
Hive Digital Media,2005,
SoundHound Inc.,2005,
"OneSpot, Inc.",2005,
Peltarion AB,2005,
"Giant Gray, Inc.",2005,
Linguastat Inc.,2005,
"Phase Change Software, LLC",2005,
Ficha Inc.,2005,
Bossa Nova Robotics Holding Corp.,2005,
Huddle Insurance Pty Ltd,2005,
"Headwaters Co., Ltd.",2005,
Indisys,2005,
MST Medical Surgery Technologies Ltd.,2005,
Criteo S.A.,2005,
3CLogic. Inc,2005,
"Revenue Analytics, Inc.",2005,
Ysance SA,2005,
UiPath Inc.,2005,
Brightfield,2006,
"kWantera, Inc.",2006,
"Conviva, Inc.",2006,
Maxymiser Inc.,2006,
Irisity AB (publ),2006,
KAI Square Pte. Ltd.,2006,
"Neurala, Inc.",2006,
"JustVisual, Inc.",2006,
"Afiniti, Inc.",2006,
Peer39 Inc.,2006,
ElMindA Ltd.,2006,
"RichRelevance, Inc.",2006,
Oakam Ltd.,2006,
"Blue Danube Systems, Inc.",2006,
Miaozhen Systems Company,2006,
Starcounter AB,2006,
NextRoll,2006,
Immunarray Pvt. Ltd.,2006,
Apttus Corporation,2006,
Roomex Ltd,2006,
"Riivos, Inc.",2006,
FRISS Fraudebestrijding B.V.,2006,
Think Research Corporation,2006,
Optasia Medical Ltd.,2006,
Infinity Augmented Reality Ltd.,2006,
Syllabs SAS,2006,
Brandscreen Pte Ltd.,2006,
Artesian Solutions Limited,2006,
"Vive Crop Protection, Inc.",2006,
"EcoFactor, Inc.",2006,
Cliris SAS,2006,
Invenia Technical Computing Corporation,2006,
"Movidius, Inc.",2006,
"Kanjoya, Inc.",2006,
Brain Tunnelgenix Technologies Corp.,2006,
"Networked Insights, Inc.",2006,
MDLIVE Inc.,2006,
"Anterios, Inc.",2006,
"Shenzhen Annet Information System Co., Ltd.",2006,
Fio Corporation,2006,
"Hello, Chair, Inc.",2006,
Bloom Intelligence,2006,
"Lingospot, Inc.",2006,
CustomerXPs Software,2006,
Harvest,2006,
HighRadius Corporation,2006,
Mindojo Ltd.,2006,
Intelligent Automation,2006,
"Damballa, Inc.",2006,
"Lattice Engines, Inc.",2006,
Genescient Corporation,2006,
Adyen N.V.,2006,
9F Inc.,2006,
ALCI SAS,2007,
"Walmeric Soluciones, SL",2007,
Biz2Credit Inc.,2007,
"DEMANDBASE, INC.",2007,
Softneta UAB,2007,
KAUEL,2007,
"User Local, Inc.",2007,
SabirMedical S.L.,2007,
Transbiomed S.L.,2007,
Synesis Group,2007,
"Revolution Analytics, Inc.",2007,
ITrust SAS,2007,
KOKOPELLI inc.,2007,
N4P Pte Ltd,2007,
"Nference, Inc.",2007,
"Shanghai Yitu Network Technology Co., Ltd.",2007,
Cogito Corporation,2007,
Joule,2007,
Simudyne Ltd.,2007,
Siine Limited,2007,
EFOS d.o.o.,2007,
"Crimson Hexagon, Inc.",2007,
"ExtraHop Networks, Inc.",2007,
Realeyes Limited,2007,
Braincube SAS,2007,
"Remark Holdings, Inc.",2007,
AppNexus Inc.,2007,
ClickPaaS,2007,
4w MarketPlace srl,2007,
"PandoLogic, Inc.",2007,
Zhongkedianji,2007,
"Ayehu Software Technologies, Ltd.",2007,
"ColdLight Solutions, LLC",2007,
Moodstocks SAS,2007,
"Chai Labs, Inc.",2007,
"Metamark Genetics, Inc.",2007,
"PD Aerospace, Ltd.",2007,
Studio Ousia Inc.,2007,
"Conversica, Inc.",2007,
TrendMiner NV,2007,
ZenRobotics Ltd.,2007,
Exonar Limited,2007,
ART21,2007,
Skyresponse AB,2007,
Navmii Limited,2007,
Mash Group Oyj,2007,
Pharnext SA,2007,
"Atrys Health, S.A.",2007,
Vizury Interactive Solutions Private Limited,2007,
Maistro Plc,2007,
Zauber Labs,2007,
"RapidMiner, Inc.",2007,
"MediaMath, Inc.",2007,
Hopper Inc.,2007,
WiWide Inc,2007,
"ClearBlade, Inc.",2007,
Pascal Metrics Inc.,2007,
4DForce GmbH,2007,
Yseop SAS,2007,
GridBeyond Limited,2007,
cogvis Software und Consulting GmbH,2007,
aiHit Ltd.,2007,
"Sidecar Interactive, Inc.",2007,
"LucidWorks, Inc.",2007,
Jivox Corporation,2007,
AntVoice SAS,2007,
Drayson Technologies Limited,2007,
Kount Inc.,2007,
Geekbang Technology Ltd.,2007,
Curetis N.V.,2007,
Brille24 GmbH,2007,
High-Tech Bridge SA,2007,
my6sense Inc.,2007,
Herow,2007,
Thirdpresence,2007,
CALM Energy,2007,
LifeRobotics,2007,
"Taptica, Inc.",2007,
360pi Corporation,2007,
"Roverr, Inc.",2007,
Sophia Search,2007,
Automated Insights Inc.,2007,
"Five Apes, Inc.",2007,
GoForward Inc.,2007,
Global Web Solutions Kft.,2007,
DesiCrew Solutions Pvt. Ltd,2007,
"Neo4j, Inc.",2007,
"Numerate, Inc.",2007,
Metaps Inc.,2007,
Analytics Engines Ltd.,2008,
Blue Yonder GmbH,2008,
"BaseHealth, Inc.",2008,
Dhatim SARL,2008,
Tbit Tecnologia S.A.,2008,
Elium,2008,
"Knewton, Inc.",2008,
The unbelievable Machine Company GmbH,2008,
Featurespace Limited,2008,
Scoop.it Inc.,2008,
medCPU Inc.,2008,
"Bluefin Labs, Inc.",2008,
Influere.io,2008,
Uniphore Software Systems Private Limited,2008,
BlueDot Inc.,2008,
"DataPop, Inc.",2008,
"GumGum, Inc.",2008,
Hulbee AG,2008,
"Quantifind, Inc.",2008,
QueryClick,2008,
"PlotWatt, Inc.",2008,
"Tealium, Inc.",2008,
CashShield Pte Ltd,2008,
Carmat SA,2008,
Summa Management LLC,2008,
"Finotek Co.,Ltd.",2008,
"Robin Labs, Inc.",2008,
Figure Eight Inc.,2008,
Full Spectrum Laser LLC,2008,
Cortexica Vision Systems Limited,2008,
Decide Inc.,2008,
Pathbrite Inc.,2008,
Rocket Fuel Inc.,2008,
"Wave Computing, Inc.",2008,
StratiFi LLC,2008,
Zimplistic Pte Ltd.,2008,
"LockerDome, LLC",2008,
"Endgame, Inc.",2008,
HeartSciences,2008,
Adello Group AG,2008,
Sentient Technologies (USA) LLC,2008,
"Telcare, Inc.",2008,
Zeepson Technology,2008,
"Micronotes, Inc.",2008,
"iRidge, Inc.",2008,
Rimilia Holdings Ltd,2008,
Eliq AB,2008,
"C3 Metrics, Inc.",2008,
trueAnthem Inc.,2008,
Voci Technologies Incorporated,2008,
Ebotlution Systems,2008,
Inky Technology Corporation,2008,
"SkinIO, LLC",2008,
"StrongBox Data Solutions, Inc.",2008,
"Aria Insights, Inc.",2008,
"Converseon, Inc.",2008,
Volantio Inc.,2008,
"Luminate, Inc.",2008,
Semantic Software,2008,
ClusterHQ,2008,
"Dstillery, Inc.",2008,
"Magnetic Media Online, Inc.",2008,
"Adapteva, Inc.",2008,
Flytxt B.V.,2008,
SIGMAXYZ Inc.,2008,
Akazoo S.A.,2008,
"Morningside Analytics, Inc",2008,
"Clever Sense, Inc.",2008,
PointGrab Ltd.,2008,
"Rei-Frontier Co., Ltd.",2008,
Ayasdi AI LLC,2008,
"Brains Technology, Inc.",2008,
"Cyrcadia Health, Inc.",2008,
"AgeneBio, Inc.",2008,
Aispeech,2008,
ExB Labs GmbH,2008,
"TaskUs, LLC",2008,
Kalray S.A.,2008,
ONGO FRAMEWORK,2008,
MDR Inc.,2008,
"Jitsubo Co., Ltd.",2008,
TouchType Limited,2008,
Fabrika Online Ltd.,2008,
"Cloudera, Inc.",2008,
Pathway Genomics Corporation,2008,
"OppSource.com, Inc.",2008,
Zimplistic,2008,
Machine Perception Technologies,2008,
AzurePower inc.,2008,
Spire Innovations Inc.,2008,
Musicmetric,2008,
Global Ad Source,2008,
SwiftKey,2008,
Trooval,2008,
Luminate,2008,
BlenderHouse,2008,
Query Click Ltd.,2008,
AppDynamics LLC,2008,
Reveal Data Corporation,2008,
International Institute for the Safety of Medicines Ltd.,2008,
"Invoca, Inc.",2008,
KNIME,2008,
Lucid AI,2008,
Autonomous Fusion,2008,
"BioStable Science & Engineering, Inc.",2008,
TribePlay Co. Ltd.,2008,
Excelfore Corporation,2008,
"SSB Legal Technologies, LLC",2008,
Radius Intelligence Inc.,2008,
JX PRESS Corporation,2008,
"Eversec Technology Co.,Ltd.",2008,
Singularity Education Group,2008,
BuildingIQ Pty Ltd.,2009,
The Sensible Code Company Ltd,2009,
"DermaSensor, Inc.",2009,
"Movvo, Inc.",2009,
"SchoolPal Online (Hangzhou) Technology Co.,Ltd.",2009,
"Ampush Media, Inc.",2009,
Bitvore Corp,2009,
"Opzoon Technology Co., Ltd.",2009,
"Flagship Biosciences, Inc.",2009,
"Discovix, Inc",2009,
"Apixio, Inc.",2009,
Robo-Team Ltd.,2009,
Sinovation Ventures (Beijing) Enterprise Management Limited,2009,
TrustBuddy AB (publ),2009,
CoachClub SAS,2009,
"Talkwalker, Sàrl",2009,
"Beijing Moviebook Technology Co., Ltd.",2009,
"Dataminr, Inc.",2009,
Prelert Inc.,2009,
GreenPocket GmbH,2009,
DB CyberTech,2009,
"Babel Street, Inc.",2009,
"Think Realtime, LLC",2009,
"Nullable, Inc.",2009,
"Grammarly, Inc.",2009,
Aeorum España,2009,
Fabric Genomics (formerly Omicia),2009,
"Senscio Systems, Inc.",2009,
PixCell Medical Technologies Ltd.,2009,
User Replay Limited,2009,
"Affectiva, Inc.",2009,
"Jobcase, Inc.",2009,
"Argyle Data, Inc.",2009,
Airship,2009,
"HighlightCam, Inc.",2009,
"Seven Lakes Technologies, Inc.",2009,
"Paneve, LLC",2009,
Elephant Labs LLC,2009,
BIN-e,2009,
Gpredictive GmbH,2009,
"Velocidi, LLC",2009,
"BloomReach, Inc.",2009,
"Verdeeco, Inc.",2009,
Cognitive Security s.r.o.,2009,
Deontics Limited,2009,
"SmartCloud, Inc.",2009,
Nanorep Technologies Ltd.,2009,
Unbounce Marketing Solutions Inc.,2009,
"MapR Technologies, Inc.",2009,
PATEO Corporation,2009,
DiA Imaging Analysis Ltd.,2009,
"Kngine, Inc.",2009,
Medial EarlySign Ltd,2009,
Insight Robotics Ltd.,2009,
OCRex Ltd.,2009,
"Famigo, Inc.",2009,
UNATA Inc.,2009,
Mobility Tech Green SAS,2009,
Spell Inc.,2009,
"AiCure, LLC",2009,
"HEROZ, Inc.",2009,
Finger Food Studios Inc.,2009,
CIM Enviro,2009,
"Predixion Software, Inc.",2009,
Taiger Singapore Pte. Ltd.,2009,
"ThingWorx, Inc.",2009,
"Image Vision Labs, Inc.",2009,
SmartAction LLC,2009,
"Compass Labs, Inc.",2009,
Zest AI,2009,
Mintigo Inc.,2009,
SELTECH Corporation,2009,
People Power Company,2009,
"Pure Storage, Inc.",2009,
Climeworks AG,2009,
RIWI Corp.,2009,
Magisto Ltd.,2009,
"Boost Media, Inc.",2009,
WordDive Ltd.,2009,
Plunify Pte. Ltd.,2009,
Meniga Ltd,2009,
Simplilearn Solutions Private Limited,2009,
dMetrics Inc.,2009,
"EnglishHelper, Inc.",2009,
Meniga hf.,2009,
"Kauli, Inc.",2009,
"Datameer, Inc.",2009,
LabMinds Limited,2009,
RobArt GmbH.,2009,
"Healthrageous, Inc.",2009,
wireWAX Ltd,2009,
"LinkSmart, Inc.",2009,
ViSSee,2009,
Happy Elements,2009,
Youneeq,2009,
Gravity,2009,
Nanorep,2009,
Causata Inc.,2009,
Evature,2009,
CloudTrade,2009,
Simulmedia Inc.,2009,
Heyzap Inc.,2009,
"BuildingIQ, Inc.",2009,
"Zingle, Inc.",2009,
"Wavii, Inc.",2009,
Mybuilderpal,2009,
C3,2009,
Welltok Analytic Services,2009,
Medalogix LLC,2009,
"Snapsort, Inc.",2009,
Kinesense Limited,2009,
"Big Squid, Inc.",2009,
Sky Futures Ltd,2009,
"Flashback Technologies, Inc.",2009,
LiveIntent Inc.,2009,
"Recorded Future, Inc.",2009,
AcuityAds Holdings Inc.,2009,
"Stem, Inc.",2009,
"Xuba, LLC",2009,
Vade Secure SASU,2009,
"Agari Data, Inc.",2009,
Latize Pte. Ltd.,2009,
"Windward, Ltd.",2010,
"Medwhat.com, Inc.",2010,
Musixmatch s.p.a,2010,
"Blueprint Labs, Inc.",2010,
"InsightsOne Systems, Inc.",2010,
Kakao VX Inc.,2010,
"SimpleReach, Inc.",2010,
"Ezoic, Inc.",2010,
"Eyenuk, Inc.",2010,
"BlackLocus, Inc.",2010,
AIATOR,2010,
ACALL Inc.,2010,
"ADM Diagnostics, Inc.",2010,
Punchh Inc.,2010,
Shaping Cloud Ltd,2010,
BlueConic Inc.,2010,
Smartology Ltd,2010,
Post Intelligence Inc.,2010,
Cxense ASA,2010,
Senion,2010,
"Parrable, Inc.",2010,
"Seyyer, Inc.",2010,
"Kinetic Global Markets, Inc.",2010,
"Smarterer, Inc.",2010,
Mawdoo3,2010,
Anagog Ltd.,2010,
Automated Intelligence Limited,2010,
"MerchantAtlas, Inc.",2010,
Kakao Corp.,2010,
Run Inc.,2010,
"FreakOut Holdings, inc.",2010,
Chicisimo S.L.,2010,
Block Six Analytics LLC,2010,
Semasio GmbH,2010,
"Noteleaf, Inc.",2010,
"CQuotient, LLC",2010,
"Discourse Analytics, Inc.",2010,
Chatterbox Labs Limited,2010,
"Bottlenose, Inc.",2010,
CB4,2010,
SKA Polska,2010,
"Edge Intelligence Software, Inc.",2010,
Atomic Reach Inc.,2010,
"Robotic VISION Technologies, LLC",2010,
"Shanghai Bosin Robot Technology Co., Ltd.",2010,
"Profility, Inc.",2010,
CloudFactory Limited,2010,
"Infer, Inc.",2010,
Impermium Corporation,2010,
"vegetalia, inc.",2010,
"MiddleGate, Inc.",2010,
InnoQuant Strategic Analytics S.L.,2010,
NeuroVision Imaging LLC,2010,
Deep Information Sciences,2010,
"WibiData, Inc.",2010,
WACUL INC.,2010,
"TridentUSA Health Services, LLC",2010,
Booktrack Ltd.,2010,
"Jirafe, Inc.",2010,
Personetics Technologies Ltd.,2010,
IKO System SA,2010,
True Fit Corporation,2010,
Surgo,2010,
Maxifier Inc.,2010,
Verv Limited,2010,
"IDx Technologies, Inc.",2010,
SoDash Limited,2010,
"WorkFusion, Inc.",2010,
Decisions Llc,2010,
Diffbot Corp.,2010,
Quantela Inc.,2010,
BFG Group LLC,2010,
Mobaloo,2010,
Cignifi Inc.,2010,
"Beijing Remebot Technology Co., Ltd.",2010,
ORRECO Limited,2010,
Medical Informatics Corp.,2010,
fos4X GmbH,2010,
Luxurynsight SAS,2010,
"Albeado, Inc.",2010,
"Main Street Hub, Inc.",2010,
Ecoation Innovative Solutions Inc.,2010,
Brainomix Limited,2010,
LeanTaaS Inc.,2010,
Active Asset Allocation International Consulting SAS,2010,
Tiebaobei,2010,
"Compellon, Inc.",2010,
"Cloudwear, Inc.",2010,
BRAINCONTROL,2010,
Findability Sciences,2010,
Hangzhou Bangsun Financial Information Technology Ltd.,2010,
ColorModules Inc.,2010,
"SmarterHQ, Inc.",2010,
"Vectra AI, Inc.",2010,
"ARM Insight, Inc.",2010,
Seal Software Limited,2010,
Pradeo Security Systems SAS,2010,
Scypho,2010,
"Manzama, Inc.",2010,
Safety Line SAS,2010,
"Phenom People, Inc.",2010,
"ReThink Medical, Inc.",2010,
"Built In, Inc.",2010,
"SRAX, Inc.",2010,
"Anki, Inc.",2010,
Relogix Inc.,2010,
Sightec,2010,
REstore,2010,
Starmind International AG,2010,
Kaggle Inc.,2010,
inMarket Media LLC,2010,
AgriTask Ltd.,2010,
13th Lab AB,2010,
"Quid, Inc.",2010,
Upstream Commerce Ltd.,2010,
Kira Inc.,2010,
"Analytical Flavor Systems, Inc.",2010,
Atonarp Inc.,2010,
"Fuse Analytics, Inc.",2010,
Actual Analytics Limited,2010,
ZEN.CAR,2010,
"Alteryx, Inc.",2010,
Sidecar,2010,
reportbrain,2010,
tinyclues,2010,
DigitalMR,2010,
Optimus3,2010,
MyVerse,2010,
Hailo,2010,
Silk,2010,
EverythingMe,2010,
Cubeyou,2010,
HYBRID SECURITY,2010,
MightySignal,2010,
Cupoint SA,2010,
FaceMe Limited,2010,
Greenbird Integration Technology AS,2010,
Harver B.V.,2010,
Cambridge Mobile Telematics Inc.,2010,
"FireFly Automatix, Inc.",2010,
XOi Technologies,2010,
Bosin Technology,2010,
"Drawn to Scale, Inc.",2010,
"Zimperium, Inc.",2010,
"VoiceBase, Inc.",2010,
Oracle Data Chain,2010,
"Sumo Logic, Inc.",2010,
"Pison Technology, Inc.",2010,
Now Interact Nordic AB,2010,
AYLIEN INC.,2010,
"Domo, Inc.",2010,
PrecisionHawk Inc.,2010,
Narrative Science Inc.,2010,
Wobot LLC,2010,
Speech Graphics Ltd,2010,
Zimpl AB,2010,
"Terramera, Inc.",2010,
"Zachary Piper, LLC",2011,
"Element Science, Inc.",2011,
"Tempo AI, Inc.",2011,
"simMachines, Inc.",2011,
Jetpac Inc.,2011,
"Sift Science, Inc.",2011,
Brand Embassy Ltd.,2011,
"Consumer Brands, LLC",2011,
Lingua Custodia SAS,2011,
"Verdigris Technologies, Inc.",2011,
"Butterfly Network, Inc.",2011,
"Shinezone Network Co., Ltd.",2011,
"AutoGrid Systems, Inc.",2011,
"Magic Leap, Inc.",2011,
Social Power,2011,
Aba Inc.,2011,
Incredible Labs Inc.,2011,
"BigML, Inc.",2011,
Entopsis LLC,2011,
"Gauss Surgical, Inc.",2011,
"Directly Software, Inc.",2011,
Desti Inc.,2011,
Mallzee Ltd,2011,
"AmigoCloud, Inc.",2011,
Scatter Lab Inc.,2011,
Shop O' Lot Inc.,2011,
Hubdoc Inc.,2011,
"Volt Athletics, Inc.",2011,
SENSY INC.,2011,
Canwe STUDIOS LLC,2011,
"TransVoyant, Inc.",2011,
"Inporia, Inc.",2011,
Dictanova,2011,
"PurePredictive, Inc.",2011,
APPRL Fashion AB,2011,
Acupera Inc.,2011,
"GraphDive, Inc.",2011,
Happiest Minds Technologies Private Limited,2011,
Growth Intelligence,2011,
Aidyia,2011,
Feedzai S.A.,2011,
Beintoo S.p.a.,2011,
SwiftStack Inc.,2011,
"Scopely, Inc.",2011,
Audiense,2011,
Symbolab,2011,
VocalIQ Limited,2011,
Floq Co. Pty Ltd,2011,
Mujo Mechanics Limited,2011,
Arterys Inc.,2011,
Cyphort Inc.,2011,
Gild Inc.,2011,
"Twin Prime, Inc.",2011,
