Original_Venture_Name,Year_Foundation,Alternative_Name
"Reply, Inc.",2016,Reply.ai
Retail Logistics Excellence - RELEX Oy,2005,RELEX Solutions
"Reality Analytics, Inc.",2015,Reality AI
reinfer Ltd.,2015,re:infer
Aftercode Corp.,2016,Rambl
"Renovate Simply, Inc.",2014,Rabbet
"COMPASS, Inc.",2010,Qubena Japan
"Fractal Industries, Inc.",2015,QOMPLX
"Chengdu Qitan Technology Co., Ltd.",2016,Qitan Technology
"Beijing Putao Technology Co., Ltd.",2018,Putao ABC
ProNav Technologies Ltd.,2016,ProNavigator
"Price Technologies, Inc.",2016,Price.com
PREMEDIT SAS,2016,PREMEDIT (Running Care)
"Precision Health Intelligence, LLC",2016,Precision Health AI
Cobrain Co,2012,PreciseTarget
"Cardinal Analytx, Inc.",2015,Prealize Health
MobilizAR Technologies Pvt Ltd.,2016,Play Shifu
"Beijing Lunzi Technology Co., Ltd.",2015,Play Secret
Tunicorn Technology,2014,Pitchbook
Piano Media s.r.o.,2010,Piano Software
"Power Fingerprinting, Inc.",2010,PFP Cybersecurity
"Netotiate, Inc.",2011,personali
ONLYSIX LTD.,2013,Permutive
Vision Cortex Ltd.,2014,Percepto
Whole Biome Inc.,2012,Pendulum Therapeutics
CivicFeed,2017,PeakMetrics
Anamantic Pty Ltd,2017,Particular Audience
"ParityGo, Inc.",2016,Parity
"Parable Sciences, Inc.",2009,Paradata
"PAIGE.AI, Inc.",2018,Paige
Puut A/S,2011,Paiblock
"Micro C, LLC",2016,"OXOS Medical, Inc"
"Tangible Play, Inc.",2013,Osmo
no new folk studio inc.,2014,Orphe
Modaviti eMarketing Private Limited,2013,Orbo.ai
"Mobius Solutions, Ltd.",2009,Optimove
"OpenCity, Inc.",2016,OpenCity.CO
Open Mind Innovation SAS,2016,Open Mind Neurotechnologies
Onion Mathematics,2013,Onion Math
Portal Finance,2016,OmniBnk
Century Genomics Limited,2016,OME Health
OM Mobile Ventures (UK) Limited,2006,Om Ventures
"Z21 Labs, Inc.",2017,Observe.AI
Nustay A/S,2014,Nustay.com
New Horizon Health,2013,Nuohui Health
Nudge Software Inc.,2014,Nudge.ai
"Zealth, Inc.",2017,Notable
SIA Nordigen Solutions,2015,Nordigen
"Beijing Nongtian Guanjia Technology Co., Ltd.",2016,Nongtian Guanjia
"Nimblr, Inc.",2016,Nimblr.ai
18th Floor Onlinemedia GmbH,2017,Newsadoo
NeuronSW Ltd.,2016,Neuron Soundware
Nectria S.L.,2012,Nektria
Vyomo Pte. Ltd.,2014,Naturals @Home
"Hangzhou Nationalchip Science&Technology Co., Ltd.",2001,Nationalchip
"The Narrativ Company, Inc.",2015,Narrativ
"Shanghai Nanyan Information Technology Co., Ltd.",2015,Nanyan Insurtech
"Beijing Moyunsec Technology Co., Ltd.",2017,Moyunsec.com
"Morphic Holding, Inc.",2015,Morphic Therapeutic
"Beijing Moran Cognitive Technology Co., Ltd.",2016,Moran Cognitive Technology
"Bejing Xirui Yasi Technology Co., Ltd.",2015,Moka
